Order ID,Order Date,Order Time,Hour,Day,Month,Weekend/Weekday,Time of Day,Branch,Product Name,Category,Unit Price,Quantity,Sales,Profit,Customer Type,Payment Mode
ORD-00031,2025-01-02,13:38,13,Thursday,January,Weekday,Afternoon,South Congress,Choco Lava Cake,Desserts,4.99,2,9.98,4.32,Takeaway,Google Pay
ORD-00032,2025-01-02,14:25,14,Thursday,January,Weekday,Afternoon,The Domain,Pizza Mania Combo,Combos,19.99,3,59.97,24.3,Dine-in,Card
ORD-00033,2025-01-02,15:08,15,Thursday,January,Weekday,Afternoon,The Domain,Veggie Overload,Pizza,14.49,1,14.49,7.15,Dine-in,Apple Pay
ORD-00034,2025-01-02,16:04,16,Thursday,January,Weekday,Afternoon,South Congress,Soda,Beverages,2.49,3,7.47,3.77,Dine-in,Card
ORD-00035,2025-01-02,18:50,18,Thursday,January,Weekday,Evening,South Congress,Pizza Mania Combo,Combos,19.99,2,39.98,13.68,Takeaway,Card
ORD-00036,2025-01-02,19:23,19,Thursday,January,Weekday,Evening,The Domain,Lemonade,Beverages,3.99,3,11.97,6.51,Takeaway,Cash
ORD-00037,2025-01-02,19:58,19,Thursday,January,Weekday,Evening,Round Rock,BBQ Chicken,Pizza,15.99,3,47.97,23.18,Takeaway,Apple Pay
ORD-00038,2025-01-02,20:38,20,Thursday,January,Weekday,Evening,East Austin,Margherita,Pizza,11.99,2,23.98,11.9,Dine-in,Card
ORD-00039,2025-01-02,20:39,20,Thursday,January,Weekday,Evening,Downtown,Soda,Beverages,2.49,4,9.96,4.84,Takeaway,Card
ORD-00040,2025-01-02,20:52,20,Thursday,January,Weekday,Evening,East Austin,Potato Wedges,Sides,5.49,1,5.49,2.41,Dine-in,Card
ORD-00041,2025-01-02,20:59,20,Thursday,January,Weekday,Evening,Round Rock,Stuffed Garlic Bread,Sides,7.99,4,31.96,12.95,Delivery,Cash
ORD-00042,2025-01-02,21:19,21,Thursday,January,Weekday,Night,Downtown,Veggie Overload,Pizza,14.49,2,28.98,13.19,Delivery,Card
ORD-00043,2025-01-02,21:41,21,Thursday,January,Weekday,Night,The Domain,Margherita,Pizza,11.99,3,35.97,18.76,Delivery,Card
ORD-00044,2025-01-02,22:04,22,Thursday,January,Weekday,Night,Round Rock,Veggie Overload,Pizza,14.49,2,28.98,14.0,Takeaway,Card
ORD-00045,2025-01-02,22:36,22,Thursday,January,Weekday,Night,East Austin,Pizza Mania Combo,Combos,19.99,2,39.98,14.91,Delivery,Card
ORD-00046,2025-01-03,11:14,11,Friday,January,Weekday,Morning,Downtown,Soda,Beverages,2.49,3,7.47,3.76,Takeaway,Card
ORD-00047,2025-01-03,11:19,11,Friday,January,Weekday,Morning,The Domain,Stuffed Crust Supreme,Pizza,18.99,3,56.97,29.83,Takeaway,Card
ORD-00048,2025-01-03,11:28,11,Friday,January,Weekday,Morning,The Domain,Stuffed Crust Supreme,Pizza,18.99,1,18.99,9.84,Dine-in,Google Pay
ORD-00049,2025-01-03,13:21,13,Friday,January,Weekday,Afternoon,The Domain,Buffalo Chicken,Pizza,16.49,2,32.98,16.26,Delivery,Card
ORD-00050,2025-01-03,13:28,13,Friday,January,Weekday,Afternoon,South Congress,Potato Wedges,Sides,5.49,2,10.98,4.66,Takeaway,Cash
ORD-00051,2025-01-03,13:41,13,Friday,January,Weekday,Afternoon,South Congress,Buffalo Chicken,Pizza,16.49,1,16.49,7.64,Dine-in,Apple Pay
ORD-00052,2025-01-03,14:03,14,Friday,January,Weekday,Afternoon,East Austin,Veggie Overload,Pizza,14.49,2,28.98,14.14,Dine-in,Apple Pay
ORD-00053,2025-01-03,14:11,14,Friday,January,Weekday,Afternoon,The Domain,Lemonade,Beverages,3.99,1,3.99,2.18,Delivery,Card
ORD-00054,2025-01-03,14:16,14,Friday,January,Weekday,Afternoon,East Austin,Buffalo Chicken,Pizza,16.49,3,49.47,24.67,Delivery,Apple Pay
ORD-00055,2025-01-03,14:22,14,Friday,January,Weekday,Afternoon,South Congress,Buffalo Chicken,Pizza,16.49,2,32.98,15.89,Delivery,Apple Pay
ORD-00056,2025-01-03,14:47,14,Friday,January,Weekday,Afternoon,South Congress,Margherita,Pizza,11.99,2,23.98,11.88,Dine-in,Cash
ORD-00057,2025-01-03,15:01,15,Friday,January,Weekday,Afternoon,East Austin,Soda,Beverages,2.49,1,2.49,1.25,Takeaway,Apple Pay
ORD-00058,2025-01-03,15:24,15,Friday,January,Weekday,Afternoon,Downtown,BBQ Chicken,Pizza,15.99,1,15.99,7.62,Delivery,Apple Pay
ORD-00059,2025-01-03,15:46,15,Friday,January,Weekday,Afternoon,South Congress,Lemonade,Beverages,3.99,4,15.96,8.14,Takeaway,Card
ORD-00060,2025-01-03,18:02,18,Friday,January,Weekday,Evening,The Domain,Garlic Breadsticks,Sides,6.49,2,12.98,5.69,Dine-in,Card
ORD-00061,2025-01-03,18:31,18,Friday,January,Weekday,Evening,East Austin,Soda,Beverages,2.49,1,2.49,1.27,Delivery,Cash
ORD-00062,2025-01-03,18:35,18,Friday,January,Weekday,Evening,Round Rock,Iced Tea,Beverages,3.49,2,6.98,3.32,Delivery,Card
ORD-00063,2025-01-03,19:28,19,Friday,January,Weekday,Evening,East Austin,Garlic Breadsticks,Sides,6.49,1,6.49,2.81,Takeaway,Apple Pay
ORD-00064,2025-01-03,19:33,19,Friday,January,Weekday,Evening,East Austin,Stuffed Crust Supreme,Pizza,18.99,2,37.98,18.13,Dine-in,Google Pay
ORD-00065,2025-01-03,19:55,19,Friday,January,Weekday,Evening,Round Rock,Farmhouse Veggie,Pizza,13.99,1,13.99,6.59,Dine-in,Card
ORD-00066,2025-01-03,20:09,20,Friday,January,Weekday,Evening,East Austin,Farmhouse Veggie,Pizza,13.99,2,27.98,13.04,Delivery,Cash
ORD-00067,2025-01-03,20:26,20,Friday,January,Weekday,Evening,East Austin,Veggie Overload,Pizza,14.49,3,43.47,21.1,Takeaway,Google Pay
ORD-00068,2025-01-03,20:54,20,Friday,January,Weekday,Evening,South Congress,Margherita,Pizza,11.99,2,23.98,11.89,Takeaway,Cash
ORD-00069,2025-01-03,21:05,21,Friday,January,Weekday,Night,The Domain,Chicken Wings,Sides,9.99,2,19.98,8.61,Takeaway,Cash
ORD-00070,2025-01-03,21:23,21,Friday,January,Weekday,Night,Downtown,Choco Lava Cake,Desserts,4.99,2,9.98,4.19,Delivery,Card
ORD-00071,2025-01-03,21:47,21,Friday,January,Weekday,Night,The Domain,Pizza Mania Combo,Combos,19.99,3,59.97,22.46,Takeaway,Apple Pay
ORD-00072,2025-01-03,22:24,22,Friday,January,Weekday,Night,Downtown,Margherita,Pizza,11.99,2,23.98,11.26,Takeaway,Apple Pay
ORD-00073,2025-01-03,22:24,22,Friday,January,Weekday,Night,Downtown,Margherita,Pizza,11.99,1,11.99,5.75,Takeaway,Card
ORD-00074,2025-01-03,22:28,22,Friday,January,Weekday,Night,The Domain,Pizza Mania Combo,Combos,19.99,3,59.97,23.79,Dine-in,Card
ORD-00075,2025-01-03,22:59,22,Friday,January,Weekday,Night,The Domain,BBQ Chicken,Pizza,15.99,1,15.99,7.96,Dine-in,Card
ORD-00076,2025-01-03,23:21,23,Friday,January,Weekday,Night,Round Rock,Margherita,Pizza,11.99,1,11.99,5.68,Dine-in,Cash
ORD-00077,2025-01-04,10:02,10,Saturday,January,Weekend,Morning,Downtown,Farmhouse Veggie,Pizza,13.99,1,13.99,6.38,Delivery,Apple Pay
ORD-00078,2025-01-04,10:59,10,Saturday,January,Weekend,Morning,The Domain,Stuffed Garlic Bread,Sides,7.99,1,7.99,3.75,Delivery,Card
ORD-00079,2025-01-04,11:33,11,Saturday,January,Weekend,Morning,Downtown,Stuffed Garlic Bread,Sides,7.99,2,15.98,6.58,Delivery,Card
ORD-00080,2025-01-04,11:53,11,Saturday,January,Weekend,Morning,East Austin,Buffalo Chicken,Pizza,16.49,2,32.98,15.54,Delivery,Card
ORD-00081,2025-01-04,12:21,12,Saturday,January,Weekend,Afternoon,Round Rock,BBQ Chicken,Pizza,15.99,1,15.99,7.72,Takeaway,Card
ORD-00082,2025-01-04,12:44,12,Saturday,January,Weekend,Afternoon,Downtown,Garlic Breadsticks,Sides,6.49,2,12.98,5.41,Delivery,Card
ORD-00083,2025-01-04,13:04,13,Saturday,January,Weekend,Afternoon,East Austin,BBQ Chicken,Pizza,15.99,3,47.97,23.23,Takeaway,Cash
ORD-00084,2025-01-04,13:19,13,Saturday,January,Weekend,Afternoon,South Congress,Soda,Beverages,2.49,2,4.98,2.46,Delivery,Google Pay
ORD-00085,2025-01-04,13:28,13,Saturday,January,Weekend,Afternoon,Downtown,BBQ Chicken,Pizza,15.99,2,31.98,14.9,Delivery,Cash
ORD-00086,2025-01-04,13:31,13,Saturday,January,Weekend,Afternoon,East Austin,BBQ Chicken,Pizza,15.99,4,63.96,30.66,Dine-in,Apple Pay
ORD-00087,2025-01-04,13:52,13,Saturday,January,Weekend,Afternoon,East Austin,Stuffed Crust Supreme,Pizza,18.99,2,37.98,17.54,Takeaway,Cash
ORD-00088,2025-01-04,14:36,14,Saturday,January,Weekend,Afternoon,South Congress,Soda,Beverages,2.49,3,7.47,3.77,Dine-in,Apple Pay
ORD-00089,2025-01-04,14:55,14,Saturday,January,Weekend,Afternoon,Downtown,Veggie Overload,Pizza,14.49,1,14.49,6.99,Delivery,Google Pay
ORD-00090,2025-01-04,15:43,15,Saturday,January,Weekend,Afternoon,The Domain,BBQ Chicken,Pizza,15.99,1,15.99,8.14,Delivery,Card
ORD-00091,2025-01-04,15:50,15,Saturday,January,Weekend,Afternoon,Downtown,Soda,Beverages,2.49,2,4.98,2.42,Takeaway,Card
ORD-00092,2025-01-04,16:09,16,Saturday,January,Weekend,Afternoon,Downtown,BBQ Chicken,Pizza,15.99,1,15.99,7.7,Dine-in,Cash
ORD-00093,2025-01-04,16:37,16,Saturday,January,Weekend,Afternoon,East Austin,Pizza Mania Combo,Combos,19.99,1,19.99,7.13,Takeaway,Card
ORD-00094,2025-01-04,16:41,16,Saturday,January,Weekend,Afternoon,South Congress,Farmhouse Veggie,Pizza,13.99,1,13.99,6.76,Dine-in,Cash
ORD-00095,2025-01-04,16:50,16,Saturday,January,Weekend,Afternoon,East Austin,Farmhouse Veggie,Pizza,13.99,1,13.99,6.49,Takeaway,Card
ORD-00096,2025-01-04,17:21,17,Saturday,January,Weekend,Evening,The Domain,Buffalo Chicken,Pizza,16.49,3,49.47,25.98,Dine-in,Apple Pay
ORD-00097,2025-01-04,17:38,17,Saturday,January,Weekend,Evening,Downtown,Garlic Breadsticks,Sides,6.49,2,12.98,5.44,Delivery,Card
ORD-00098,2025-01-04,18:31,18,Saturday,January,Weekend,Evening,South Congress,Lemonade,Beverages,3.99,1,3.99,1.97,Takeaway,Card
ORD-00099,2025-01-04,18:35,18,Saturday,January,Weekend,Evening,East Austin,Buffalo Chicken,Pizza,16.49,2,32.98,15.42,Dine-in,Apple Pay
ORD-00100,2025-01-04,19:05,19,Saturday,January,Weekend,Evening,Downtown,Soda,Beverages,2.49,1,2.49,1.17,Dine-in,Apple Pay
ORD-00101,2025-01-04,19:05,19,Saturday,January,Weekend,Evening,The Domain,Stuffed Crust Supreme,Pizza,18.99,3,56.97,28.69,Takeaway,Card
ORD-00102,2025-01-04,19:40,19,Saturday,January,Weekend,Evening,Downtown,Garlic Breadsticks,Sides,6.49,1,6.49,2.62,Takeaway,Card
ORD-00103,2025-01-04,19:54,19,Saturday,January,Weekend,Evening,Downtown,Buffalo Chicken,Pizza,16.49,1,16.49,7.94,Delivery,Cash
ORD-00104,2025-01-04,20:04,20,Saturday,January,Weekend,Evening,The Domain,Stuffed Crust Supreme,Pizza,18.99,1,18.99,9.38,Dine-in,Google Pay
ORD-00105,2025-01-04,20:21,20,Saturday,January,Weekend,Evening,The Domain,Garlic Breadsticks,Sides,6.49,1,6.49,3.0,Takeaway,Google Pay
ORD-00106,2025-01-04,20:27,20,Saturday,January,Weekend,Evening,East Austin,Buffalo Chicken,Pizza,16.49,2,32.98,15.55,Delivery,Card
ORD-00107,2025-01-04,21:02,21,Saturday,January,Weekend,Night,The Domain,BBQ Chicken,Pizza,15.99,2,31.98,16.25,Takeaway,Apple Pay
ORD-00108,2025-01-04,21:04,21,Saturday,January,Weekend,Night,South Congress,Chicken Wings,Sides,9.99,1,9.99,4.29,Delivery,Apple Pay
ORD-00109,2025-01-04,21:12,21,Saturday,January,Weekend,Night,Downtown,Stuffed Garlic Bread,Sides,7.99,3,23.97,9.49,Dine-in,Apple Pay
ORD-00110,2025-01-04,21:14,21,Saturday,January,Weekend,Night,The Domain,Veggie Overload,Pizza,14.49,2,28.98,15.17,Delivery,Card
ORD-00111,2025-01-04,21:28,21,Saturday,January,Weekend,Night,Downtown,Margherita,Pizza,11.99,2,23.98,11.38,Takeaway,Apple Pay
ORD-00112,2025-01-04,21:35,21,Saturday,January,Weekend,Night,South Congress,Stuffed Garlic Bread,Sides,7.99,3,23.97,9.95,Dine-in,Apple Pay
ORD-00113,2025-01-04,21:39,21,Saturday,January,Weekend,Night,South Congress,Buffalo Chicken,Pizza,16.49,1,16.49,8.13,Dine-in,Card
ORD-00114,2025-01-04,21:41,21,Saturday,January,Weekend,Night,Round Rock,Stuffed Garlic Bread,Sides,7.99,1,7.99,3.47,Takeaway,Google Pay
ORD-00115,2025-01-04,21:49,21,Saturday,January,Weekend,Night,South Congress,Chicken Wings,Sides,9.99,1,9.99,4.23,Delivery,Card
ORD-00116,2025-01-04,21:52,21,Saturday,January,Weekend,Night,South Congress,Soda,Beverages,2.49,1,2.49,1.26,Dine-in,Card
ORD-00117,2025-01-04,21:58,21,Saturday,January,Weekend,Night,South Congress,Soda,Beverages,2.49,1,2.49,1.26,Dine-in,Card
ORD-00118,2025-01-04,22:09,22,Saturday,January,Weekend,Night,East Austin,BBQ Chicken,Pizza,15.99,1,15.99,7.68,Dine-in,Card
ORD-00119,2025-01-04,22:18,22,Saturday,January,Weekend,Night,Downtown,BBQ Chicken,Pizza,15.99,1,15.99,7.5,Takeaway,Cash
ORD-00120,2025-01-04,22:18,22,Saturday,January,Weekend,Night,The Domain,Stuffed Garlic Bread,Sides,7.99,1,7.99,3.59,Delivery,Card
ORD-00121,2025-01-04,22:28,22,Saturday,January,Weekend,Night,Downtown,Soda,Beverages,2.49,2,4.98,2.35,Delivery,Apple Pay
ORD-00122,2025-01-04,22:59,22,Saturday,January,Weekend,Night,East Austin,Stuffed Garlic Bread,Sides,7.99,3,23.97,10.4,Takeaway,Card
ORD-00123,2025-01-04,23:17,23,Saturday,January,Weekend,Night,East Austin,Stuffed Crust Supreme,Pizza,18.99,2,37.98,17.52,Takeaway,Apple Pay
ORD-00124,2025-01-04,23:30,23,Saturday,January,Weekend,Night,Downtown,BBQ Chicken,Pizza,15.99,2,31.98,15.2,Takeaway,Card
ORD-00125,2025-01-05,10:06,10,Sunday,January,Weekend,Morning,South Congress,Margherita,Pizza,11.99,2,23.98,11.07,Delivery,Card
ORD-00126,2025-01-05,11:41,11,Sunday,January,Weekend,Morning,Downtown,BBQ Chicken,Pizza,15.99,4,63.96,28.94,Delivery,Card
ORD-00127,2025-01-05,12:01,12,Sunday,January,Weekend,Afternoon,East Austin,Family Feast Combo,Combos,29.99,1,29.99,11.02,Delivery,Google Pay
ORD-00128,2025-01-05,12:08,12,Sunday,January,Weekend,Afternoon,Round Rock,Soda,Beverages,2.49,3,7.47,3.63,Takeaway,Card
ORD-00129,2025-01-05,12:13,12,Sunday,January,Weekend,Afternoon,Downtown,Brownie Sundae,Desserts,5.99,2,11.98,4.67,Takeaway,Card
ORD-00130,2025-01-05,12:20,12,Sunday,January,Weekend,Afternoon,Round Rock,Choco Lava Cake,Desserts,4.99,2,9.98,4.34,Takeaway,Apple Pay
ORD-00131,2025-01-05,13:16,13,Sunday,January,Weekend,Afternoon,South Congress,Soda,Beverages,2.49,2,4.98,2.53,Delivery,Apple Pay
ORD-00132,2025-01-05,13:23,13,Sunday,January,Weekend,Afternoon,East Austin,Veggie Overload,Pizza,14.49,2,28.98,13.9,Takeaway,Google Pay
ORD-00133,2025-01-05,13:54,13,Sunday,January,Weekend,Afternoon,Downtown,Buffalo Chicken,Pizza,16.49,2,32.98,15.52,Dine-in,Card
ORD-00134,2025-01-05,14:10,14,Sunday,January,Weekend,Afternoon,The Domain,Soda,Beverages,2.49,2,4.98,2.63,Dine-in,Cash
ORD-00135,2025-01-05,14:26,14,Sunday,January,Weekend,Afternoon,The Domain,Pizza Mania Combo,Combos,19.99,3,59.97,23.17,Dine-in,Apple Pay
ORD-00136,2025-01-05,15:20,15,Sunday,January,Weekend,Afternoon,South Congress,BBQ Chicken,Pizza,15.99,1,15.99,7.57,Takeaway,Card
ORD-00137,2025-01-05,15:55,15,Sunday,January,Weekend,Afternoon,East Austin,Margherita,Pizza,11.99,1,11.99,5.99,Delivery,Apple Pay
ORD-00138,2025-01-05,16:27,16,Sunday,January,Weekend,Afternoon,Downtown,Stuffed Garlic Bread,Sides,7.99,1,7.99,3.31,Delivery,Card
ORD-00139,2025-01-05,16:31,16,Sunday,January,Weekend,Afternoon,Round Rock,Soda,Beverages,2.49,3,7.47,3.6,Delivery,Card
ORD-00140,2025-01-05,16:46,16,Sunday,January,Weekend,Afternoon,Downtown,Chicken Wings,Sides,9.99,1,9.99,4.15,Dine-in,Apple Pay
ORD-00141,2025-01-05,17:01,17,Sunday,January,Weekend,Evening,East Austin,Brownie Sundae,Desserts,5.99,1,5.99,2.53,Takeaway,Apple Pay
ORD-00142,2025-01-05,17:12,17,Sunday,January,Weekend,Evening,Downtown,Lemonade,Beverages,3.99,1,3.99,1.87,Dine-in,Cash
ORD-00143,2025-01-05,17:24,17,Sunday,January,Weekend,Evening,The Domain,Lemonade,Beverages,3.99,4,15.96,8.25,Dine-in,Cash
ORD-00144,2025-01-05,18:33,18,Sunday,January,Weekend,Evening,Round Rock,Margherita,Pizza,11.99,2,23.98,11.68,Delivery,Cash
ORD-00145,2025-01-05,18:47,18,Sunday,January,Weekend,Evening,East Austin,Garlic Breadsticks,Sides,6.49,4,25.96,10.69,Delivery,Card
ORD-00146,2025-01-05,19:36,19,Sunday,January,Weekend,Evening,The Domain,Pizza Mania Combo,Combos,19.99,2,39.98,16.03,Delivery,Google Pay
ORD-00147,2025-01-05,19:38,19,Sunday,January,Weekend,Evening,Round Rock,Soda,Beverages,2.49,1,2.49,1.27,Takeaway,Cash
ORD-00148,2025-01-05,20:09,20,Sunday,January,Weekend,Evening,Round Rock,Pizza Mania Combo,Combos,19.99,1,19.99,7.01,Takeaway,Card
ORD-00149,2025-01-05,20:20,20,Sunday,January,Weekend,Evening,The Domain,BBQ Chicken,Pizza,15.99,1,15.99,8.11,Dine-in,Card
ORD-00150,2025-01-05,20:40,20,Sunday,January,Weekend,Evening,East Austin,Buffalo Chicken,Pizza,16.49,2,32.98,15.4,Delivery,Card
ORD-00151,2025-01-05,20:49,20,Sunday,January,Weekend,Evening,The Domain,Brownie Sundae,Desserts,5.99,1,5.99,2.56,Delivery,Card
ORD-00152,2025-01-05,20:56,20,Sunday,January,Weekend,Evening,Round Rock,Margherita,Pizza,11.99,1,11.99,5.68,Dine-in,Apple Pay
ORD-00153,2025-01-05,21:13,21,Sunday,January,Weekend,Night,Downtown,Lemonade,Beverages,3.99,2,7.98,4.02,Takeaway,Cash
ORD-00154,2025-01-05,21:25,21,Sunday,January,Weekend,Night,East Austin,Choco Lava Cake,Desserts,4.99,3,14.97,6.26,Takeaway,Cash
ORD-00155,2025-01-05,21:42,21,Sunday,January,Weekend,Night,Downtown,Stuffed Garlic Bread,Sides,7.99,2,15.98,6.75,Delivery,Apple Pay
ORD-00156,2025-01-05,21:51,21,Sunday,January,Weekend,Night,The Domain,Chicken Wings,Sides,9.99,2,19.98,8.71,Delivery,Card
ORD-00157,2025-01-05,22:14,22,Sunday,January,Weekend,Night,Downtown,Soda,Beverages,2.49,3,7.47,3.76,Delivery,Card
ORD-00158,2025-01-05,22:18,22,Sunday,January,Weekend,Night,Round Rock,Margherita,Pizza,11.99,1,11.99,5.8,Delivery,Apple Pay
ORD-00159,2025-01-05,22:29,22,Sunday,January,Weekend,Night,East Austin,Iced Tea,Beverages,3.49,1,3.49,1.74,Takeaway,Apple Pay
ORD-00160,2025-01-05,23:08,23,Sunday,January,Weekend,Night,East Austin,Choco Lava Cake,Desserts,4.99,4,19.96,8.21,Takeaway,Google Pay
ORD-00161,2025-01-06,11:43,11,Monday,January,Weekday,Morning,East Austin,Soda,Beverages,2.49,2,4.98,2.58,Delivery,Apple Pay
ORD-00162,2025-01-06,12:20,12,Monday,January,Weekday,Afternoon,Downtown,Soda,Beverages,2.49,2,4.98,2.5,Dine-in,Google Pay
ORD-00163,2025-01-06,12:32,12,Monday,January,Weekday,Afternoon,The Domain,Choco Lava Cake,Desserts,4.99,3,14.97,6.5,Dine-in,Card
ORD-00164,2025-01-06,13:16,13,Monday,January,Weekday,Afternoon,East Austin,Farmhouse Veggie,Pizza,13.99,2,27.98,13.48,Dine-in,Apple Pay
ORD-00165,2025-01-06,13:25,13,Monday,January,Weekday,Afternoon,Downtown,Soda,Beverages,2.49,4,9.96,4.7,Takeaway,Cash
ORD-00166,2025-01-06,13:38,13,Monday,January,Weekday,Afternoon,Downtown,Lemonade,Beverages,3.99,3,11.97,5.65,Dine-in,Cash
ORD-00167,2025-01-06,13:54,13,Monday,January,Weekday,Afternoon,Downtown,Garlic Breadsticks,Sides,6.49,1,6.49,2.68,Takeaway,Google Pay
ORD-00168,2025-01-06,13:56,13,Monday,January,Weekday,Afternoon,Round Rock,Veggie Overload,Pizza,14.49,2,28.98,14.04,Takeaway,Card
ORD-00169,2025-01-06,14:58,14,Monday,January,Weekday,Afternoon,South Congress,Stuffed Garlic Bread,Sides,7.99,1,7.99,3.46,Dine-in,Cash
ORD-00170,2025-01-06,15:13,15,Monday,January,Weekday,Afternoon,Downtown,Garlic Breadsticks,Sides,6.49,2,12.98,5.05,Dine-in,Card
ORD-00171,2025-01-06,16:41,16,Monday,January,Weekday,Afternoon,The Domain,Garlic Breadsticks,Sides,6.49,2,12.98,6.09,Takeaway,Cash
ORD-00172,2025-01-06,16:56,16,Monday,January,Weekday,Afternoon,Downtown,Choco Lava Cake,Desserts,4.99,1,4.99,2.12,Takeaway,Cash
ORD-00173,2025-01-06,17:38,17,Monday,January,Weekday,Evening,South Congress,Veggie Overload,Pizza,14.49,2,28.98,14.17,Dine-in,Apple Pay
ORD-00174,2025-01-06,18:55,18,Monday,January,Weekday,Evening,Round Rock,Veggie Overload,Pizza,14.49,3,43.47,20.89,Takeaway,Card
ORD-00175,2025-01-06,19:59,19,Monday,January,Weekday,Evening,East Austin,Lemonade,Beverages,3.99,3,11.97,6.11,Takeaway,Google Pay
